ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UK01	9	M	UK	8	NA	Mother	experimental	N	0	Y	N	N	N	N	Y	Before	Y	NA
UK02	9	F	UK	8	NA	Mother	control	Y	0.212909071	N	N	N	N	N	N	NA	Y	NA
UK02	9	F	UK	8	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK03	9	M	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK03	9	M	UK	8	N	Mother	experimental	N	0	Y	N	N	N	N	Y	Before	N	NA
UK04	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK04	9	F	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK05	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK05	9	F	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK06	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK06	9	F	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK07	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK07	9	F	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK08	9	F	UK	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK08	9	F	UK	9	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK10	9	M	UK	8	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK10	9	M	UK	8	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK11	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK11	9	F	UK	9	N	Mother	experimental	Y	0.212909071	N	N	N	N	N	N	NA	N	NA
UK12	9	M	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK12	9	M	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK13	9	F	UK	9	NA	Mother	control	N	0	Y	N	N	N	N	Y	NA	Y	NA
UK13	9	F	UK	9	NA	Mother	experimental	N	0	Y	N	N	N	N	Y	NA	Y	NA
UK14	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK14	9	F	UK	9	N	Mother	experimental	Y	0.0704827	N	N	N	N	N	N	NA	N	NA
UK15	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK15	9	F	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK16	9	F	UK	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK16	9	F	UK	9	NA	Mother	experimental	Y	0.10259	N	N	N	N	N	N	NA	N	NA
UK18	9	F	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK18	9	F	UK	9	N	Mother	experimental	N	0	Y	N	N	N	N	Y	Before	N	NA
